key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,excl_reason,labels,decision_c1,decision_c2,agreement
rayyan-1093358151,Should {{Value-Added School Effects Models Include Student-}} and {{School-Level Covariates}}? {{Evidence}} from {{Australian Population Assessment Data}},2021,2,"",British Educational Research Journal,0141-1926,47,1,181--204,"Marks, Gary N.","","","","","There is an enduring issue on whether student- and school-level covariates should be included in value-added school effects models, in addition to prior achievement. Proponents argue that the addition of covariates allows fairer comparisons of schools, whereas opponents argue that it excuses poorly performing schools and obscures policy-relevant school differences. School-level covariates are problematic statistically, but it has been argued that mean school prior achievement should be included in school effects analyses to reduce error. This article reports on school effects analyses of Australia-wide data of approximately 1.5 million students in both primary and secondary schools that took national assessments in five achievement domains between 2013 and 2018. With appropriate controls for prior achievement, school effects are generally small and most often not statistically significant. The addition of student-level covariates: further reduces school effects, since part of the school effects is absorbed by the effects of the covariates, which are unlikely to reflect causal social processes; reduces the proportion of schools with significant school effects; does not improve predictive power; increases the amount of missing data; and further reduces the consistency of school effects between domains and their stability over time. Mean school prior achievement did not improve consistency or stability. Incorporating covariates in school effects analyses opens a Pandora's Box of specification and measurement issues, undermining the legitimacy of school comparisons. It is concluded that researchers and administrators of educational jurisdictions should focus mainly on simpler models based on prior achievement.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 1 not sharing/ not using","",Academic Achievement;Elementary School Students;Elementary Schools;Foreign Countries;Institutional Characteristics;Reliability;School Effectiveness;Secondary School Students;Secondary Schools;Student Characteristics;Value Added Models,,,1 not sharing/ not using,,Excluded,Excluded,1
rayyan-1093358152,Collecting {{Qualitative Data}} through {{Interviews}} with {{Ethnic Older People}}.,Sum 1993,,"",Canadian Journal on Aging,0714-9808,12,2,216--232,"Matsuoka, Atsuko Karin","","","","","Gathering qualitative data on ethnic elders through different kinds of interviews (conversational, guided, and standardized open ended) raises certain questions about using native-speaking interviewers, translators, or bilingual researchers and ensuring that interviewers understand the cultural context. (SK)","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 1 not sharing/ not using","",Bilingualism;Cultural Context;Ethnic Groups;Interviews;Native Speakers;Older Adults;Qualitative Research;Research Problems;Translation,,,1 not sharing/ not using,,Excluded,Excluded,1
rayyan-1093358153,Collecting the {{Data}}: {{Collaboration}},2004,4,"",School Library Media Activities Monthly,0889-9371,20,8,27--30,"McGriff, Nancy and Harvey, Carl A. and Preddy, Leslie B.","","","","","Collaboration is considered a key to the survival of the school library media specialist in the 21st century school. It is a measure of a library media specialist's abilities and successes as an educator. It is a means for illustrating the need for a professional in the school's library media center during difficult times when trying to save library media specialist jobs. It is useful in times of prosperity when attempting to expand staffing. School library media program's collaboration triumphs and productivity are analyzed by using quantitative data and qualitative data collected through semester surveys, collaboration logs, student surveys, and collaborator-educator surveys. Quantitative data has numerical responses that can be placed into a spreadsheet for quick and easy analysis and interpretation. Qualitative data is collected through open-ended or leading questions that require the respondent to write personal opinions, experiences, and comments related to team-teaching, services, facilities, resources, and technology. Both quantitative and qualitative data are needed for a library media specialist to gain a clear understanding of professional strengths and weaknesses as well as provide data and """"sound bites"""" for school library media program reports. (Contains 7 figures and 8 resources.)","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 1 not sharing/ not using","",Data Analysis;Data Collection;Librarian Teacher Cooperation;School Libraries;Student Surveys;Surveys;Teacher Surveys,,,1 not sharing/ not using,,Excluded,Excluded,1
rayyan-1093358154,Data {{Curation}}: {{A Study}} of {{Researcher Practices}} and {{Needs}},2014,4,"",portal: Libraries and the Academy,1531-2542,14,2,139--164,"McLure, Merinda and Level, Allison V. and Cranston, Catherine L. and Oehlerts, Beth and Culbertson, Mike","","","","","Colorado State University librarians conducted five focus groups with thirty-one faculty, research scientists, and research associates. The groups explored: (1) The nature of data sets that these researchers create or maintain; (2) How participants manage their data; (3) Needs for support that the participants identify in relation to sharing, curating, and preserving their data; and (4) The feasibility of adapting the Purdue University Libraries' Data Curation Profiles Toolkit interview protocol for use in focus groups with researchers. The authors report their review of related literature, themes that emerged from analysis of the focus groups, and implications for related library services.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Included"""", """"Rümeysa""""=>""""Included""""} | RAYYAN-LABELS: screening full text | USER-NOTES: {""""Jürgen""""=>[""""qualitative data?""""]}","",Academic Libraries;College Faculty;Data;Feasibility Studies;Focus Groups;Information Management;Interviews;Library Services;Qualitative Research;Researchers;State Universities,,,,screening full text,Included,Included,1
rayyan-1093358155,Profile of {{State Data Capacity}} in 2019 and 2020: {{Statewide Longitudinal Data Systems}} ({{SLDS}}) {{Survey Descriptive Statistics}}. {{Stats}} in {{Brief}}. {{NCES}} 2022-051,2023,,"","","",,,"","Meholick, Sarah and Honey, Rose and LaTurner, Jason","","","","","Statewide longitudinal data systems (SLDSs) can enable researchers, policymakers, and practitioners to identify and understand important relationships and trends across the education-to-workforce continuum. A well-developed SLDS can increase state and territory governments' ability to establish more informed and equitable policies, enable agency leaders to act more strategically, and help practitioners make more data-informed decisions. The SLDS Survey was created to capture information about the data capacity of states' and territories' SLDSs across these varying circumstances. In addition to inventorying information about whether a given data type, link, or use is in place, the SLDS Survey explores the development of SLDSs and their varying degrees of implementation. By providing standard measures for various aspects of data capacity, the SLDS Survey helps stakeholders understand and assess the ability of SLDSs to store, manage, link, and use key data types across the preschool through workforce (P-20W+) spectrum. This Statistics in Brief provides aggregate data from the 2019 and 2020 administrations of the SLDS Survey. The primary focus of the report is on the 2020 SLDS Survey with results specific to the 2019 SLDS Survey. This brief is structured to address the following four research questions: (1) What types of K-12 data are included in the statewide longitudinal data system (SLDS)?; (2) What is the capacity for linking K-12 student data in the SLDS to other data? How are the data linked?; (3) Are there data dictionaries published publicly? Are data aligned to the Common Education Data Standards (CEDS)?; and (4) How do states and territories use data for reporting and decision-making?","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 4_not_prerequisites_barriers_facilitators_","",Accountability;Automation;Data Collection;Data Processing;Data Use;Decision Making;Elementary Secondary Education;Federal Aid;Longitudinal Studies;State Policy;State Programs;Erythromycin;Information Systems,,,4_not_prerequisites_barriers_facilitators_,,Excluded,Excluded,1
rayyan-1093358156,Transcribing {{Screen-Capture Data}}: {{The Process}} of {{Developing}} a {{Transcription System}} for {{Multi-Modal Text-Based Data}},2016,,"",International Journal of Social Research Methodology,1364-5579,19,6,663--676,"Meredith, Joanne","","","","","Transcription of audio data is widespread in qualitative research, with transcription of video data also becoming common. Online data is now being collected using screen-capture or video software, which then needs transcribing. This paper draws together literature on transcription of spoken interaction and highlights key transcription principles, namely reflecting the methodological approach, readability, accessibility, and usability. These principles provide a framework for developing a transcription system for multi-modal text-based data. The process of developing a transcription system for data from Facebook chat is described and reflected on. Key issues in the transcription of multi-modal text-based data are discussed, and examples provided of how these were overcome when developing the transcription system.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 1 not sharing/ not using","",Computer Mediated Communication;Computer Software;Data;Interaction;Social Media;Synchronous Communication;Transcripts (Written Records);Video Technology;Mass Screening,,,1 not sharing/ not using,,Excluded,Excluded,1
rayyan-1093358157,Innovative {{Methods}} for {{Collecting}} and {{Analyzing Qualitative Data}}: {{Vignettes}} and {{Pre-Structured Cases}}.,1987,,"","","",,,"","Miles, Matthew B.","","","","","Two innovative methods for collecting and analyzing qualitative data are vignettes and pre-structured cases. Vignettes are descriptions of situations or problems written by a professional, with a suggested outline and comments provided by a researcher. Advantages of this method are strength of impact of the written descriptions and efficiency of use of researchers' time; limitations are possible bias or reluctance on the part of the professional, and necessity of a good working relationship between professional and researcher. Suggested applications of this technique include formal research, problem solving, and policy planning. Illustrations of the use of this technique in a teacher center show the vividness of descriptions, as well as the potential for effective intervention.  In the pre-structured case method, the researcher writes a case outline, including a display format, before collecting any data. The data, when collected, are entered directly into the display format. Advantages of this method include efficiency of use of researchers' time, and availability of interim feedback and cross-case analysis. Limitations include necessity of knowledgeable, experienced researchers; and risk of researcher bias and of drawing conclusions too soon. Suggested applications of this method include evaluation studies and studies testing theoretical models. It is also suggested that pairs of researchers be used to limit possible bias and """"tunnel vision""""; and that transcribed, rather than coded, field notes, be entered. (JGL)","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: _before 2000","",Case Studies;Data Analysis;Data Collection;Elementary Secondary Education;Evaluation Methods;Evaluation Problems;Field Studies;Interprofessional Relationship;Interviews;Qualitative Research;Research Methodology;Research Problems,,,_before 2000,,Excluded,Excluded,1
rayyan-1093358158,"The {{Effects}} of {{Open Enrollment}}, {{Curriculum Alignment}}, and {{Data-Driven Instruction}} on the {{Test Performance}} of {{English Language Learners}} ({{ELLs}}) and {{Re-Designated Fluent English Proficient Students}} ({{RFEPs}}) at {{Shangri-La High School}}",2013,,"","","",,,"","Miles, Eva","","","","","The purpose of this study was to examine the impact of open enrollment, curriculum alignment, and data-driven instruction on the test performance of English Language Learners (ELLs) and Re-designated Fluent English Proficient students (RFEPs) at Shangri-la High School. Participants of this study consisted of the student population enrolled in English classes from grades 9 to 11 in an urban high school with total student enrollment of 2,445 in school year 2011-2012, of which 697 were ELLs. A retrospective control group design was used to analyze the data collected before and after the intervention period. The measurement tools utilized were the test performance of the students in the English Language Arts portion of the California Standardized tests (CST) and the California High School Exit Exam (CAHSEE). The findings from this study indicate that the intervention had a significant positive effect on the CST ELA scores of the ELLs versus the RFEP students. However, the intervention did not have a significant effect on the CAHSEE ELA scores of the ELLs versus the RFEP students. Moreover, there was no interaction between the language placement and the intervention for either the CST or CAHSEE. [The dissertation citations contained here are published with the permission of ProQuest LLC. Further reproduction is prohibited without permission. Copies of dissertations may be obtained by Telephone (800) 1-800-521-0600. Web page: http://www.proquest.com/en-US/products/dissertations/individuals.shtml.]","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 1 not sharing/ not using","",Admission (School);Alignment (Education);Correlation;Curriculum Design;Data;Educational Testing;English Instruction;English Language Learners;Exit Examinations;High School Students;High Schools;Instruction;Intervention;Language Proficiency;Measures (Individuals);Open Enrollment;Scores;Standardized Tests;Student Placement;Urban Schools,,,1 not sharing/ not using,,Excluded,Excluded,1
rayyan-1093358159,"On the {{Block}}: {{Student Data}} and {{Privacy}} in the {{Digital Age--The Seventheenth Annual Report}} on {{Schoolhouse Commercializing Trends}}, 2013-2014",2015,,"","","",,,"","Molnar, Alex and Boninger, Faith","","","","","Computer technology has made it possible to aggregate, collate, analyze, and store massive amounts of information about students. School districts and private companies that sell their services to the education market now regularly collect such information, raising significant issues about the privacy rights of students. Most school districts lack the resources to manage all of the student data that federal and state laws now require that they collect and report. As a result, they are likely to hire private vendors to identify, collect, manage, and analyze student data. This has opened up opportunities for private vendors to access student information and to share it with others. Further, the computerization of student work offers opportunities for companies that provide education technology and educational applications to obtain and pass on to third parties information about students. Which information may be appropriately collected, who has a right to see it, how long the information may be held, and how errors and inaccuracies are to be corrected have become critical policy issues. Important in this mix is that student information, even information in the form of """"anonymized"""" meta-data (or massive amounts of data reported without linking specific information and individuals), is valuable to marketers interested in selling products and services to students and their families. Because of these critical concerns, this year's report on school commercializing trends reviews the policy landscape related to student data and assesses the dangers associated with the dearth of policies to protect students and their families from third parties who wish to profit from access to information collected through schools. As legislators develop statutory language and district leaders develop their contracting policies, the authors recommend that they review the comprehensive guidelines detailed in the Electronic Privacy Information Center's Student Privacy Bill of Rights. The authors also recommend that policymakers develop policies that encompass not only the privacy of student educational records but also the wide variety of student data (including anonymized data that may now be collected and shared). These policies should explicitly address the potential commercial use of any data collected. Finally, the authors recommend that the burden of protecting student data be placed not only on schools and districts but also on any private vendors with access to student data. This would align the interests of all parties, public and private, in protecting student privacy. An appendix contains: State Laws Addressing Student Data Privacy (2011-2014): Synopses of Major Provisions, Noting Significant Gaps in Protection, Exclusions and Omissions. (This report contains a list of 103 notes and references.)","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 4_not_prerequisites_barriers_facilitators_","",Access to Information;Commercialization;Data;Educational Legislation;Educational Policy;Elementary Secondary Education;Information Policy;Information Security;Information Technology;Internet;Marketing;Parent Rights;Privacy;State Legislation;Student Records;Student Rights;Trend Analysis,,,4_not_prerequisites_barriers_facilitators_,,Excluded,Excluded,1
rayyan-1093358160,"Collecting, {{Transcribing}}, {{Analyzing}} and {{Presenting Plurilingual Interactional Data}}",2017,,"","","",,,"","Moore, Emilee and Llompart, J{\'u}lia","","","","","Interactional data is often central to research in plurilingual learning environments. However, getting a grip on the processes of collecting, organizing, transcribing, analyzing and presenting audio and/or visual data is possibly the most exciting, but also one of the most challenging things about learning to do qualitative research. Although the entire process is interwoven with other aspects of research discussed elsewhere in this handbook (e.g. ethics, qualitative research design), this chapter attempts to set out some basic recommendations to guide the reader through different stages of what Mortensen and Hazel (2012) have called the """"data cycle"""". Sources for recommend reading are provided. [A Spanish version of this chapter is also included in the book. For the complete volume, """"Qualitative Approaches to Research on Plurilingual Education,"""" see ED573580.]","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 4_not_prerequisites_barriers_facilitators_","",Audio Equipment;Computer Software;Data Analysis;Discourse Analysis;Ethics;Guides;Interaction;Multilingualism;Qualitative Research;Research Methodology;Video Technology,,,4_not_prerequisites_barriers_facilitators_,,Excluded,Excluded,1
rayyan-1093358161,How {{Does Mode}} of {{Qualitative Data Collection Affect Data}} and {{Cost}}? {{Findings}} from a {{Quasi-Experimental Study}},2020,2,"",Field Methods,1525-822X,32,1,58--74,"Namey, Emily and Guest, Greg and O'Regan, Amy and Godwin, Christine L. and Taylor, Jamilah and Martinez, Andres","","","","","Internet-based platforms are increasingly used to collect qualitative data. We conducted a quasi-experimental study to explore whether data collection mode affects data content and data collection costs. Participants (N = 171) were assigned systematically to one of four modes--(1) in-person (control), (2) online video-based, (3) online chat-based, (4) online e-mail/message board-based--and randomized to individual interview (IDI) or focus group (FG). We conducted 48 IDIs and 24 FGs about medical risk during pregnancy with women in the southeast United States. We found audiovisual (in-person and online video) modes generated significantly greater volumes of data than online text-based modes. However, there were no significant differences in the thematic content among modes, for IDIs or FGs. Online data collection generally cost more per event without travel; in-person IDIs/FGs were more expensive if including travel. Findings offer empirical data for considerations of online versus in-person qualitative data collection.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 5_adresses_government_health","",Asynchronous Communication;Audiovisual Communications;Computer Mediated Communication;Costs;Data;Data Collection;Focus Groups;Intermode Differences;Internet;Interviews;Qualitative Research;Synchronous Communication;Verbal Communication,,,5_adresses_government_health,,Excluded,Excluded,1
rayyan-1093358162,Video {{Data Analysis}}: {{A Methodological Frame}} for a {{Novel Research Trend}},2021,2,"",Sociological Methods \& Research,0049-1241,50,1,135--174,"Nassauer, Anne and Legewie, Nicolas M.","","","","","Since the early 2000s, the proliferation of cameras, whether in mobile phones or CCTV, led to a sharp increase in visual recordings of human behavior. This vast pool of data enables new approaches to analyzing situational dynamics. Application is both qualitative and quantitative and ranges widely in fields such as sociology, psychology, criminology, and education. Despite the potential and numerous applications of this approach, a consolidated methodological frame does not exist. This article draws on various fields of study to outline such a frame, what we call video data analysis (VDA). We discuss VDA's research agenda, methodological forebears, and applications, introduce an analytic tool kit, and discuss criteria for validity. We aim to establish VDA as a methodological frame and an interdisciplinary analytic approach, thereby enhancing efficiency and comparability of studies, and communication among disciplines that employ VDA. This article can serve as a point of reference for current and future practitioners, reviewers, and interested readers.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 4_not_prerequisites_barriers_facilitators_","",Data Analysis;Evaluation Criteria;Research Methodology;Research Problems;Research Tools;Validity;Video Technology;Statistics as Topic,,,4_not_prerequisites_barriers_facilitators_,,Excluded,Excluded,1
rayyan-1093358163,"What {{Do British Columbia Teachers Consider To Be}} the {{Most Significant Aspects}} of {{Workload}} and {{Stress}} in {{Their Work}}? {{Analysis}} of {{Qualitative Data}} from the {{BCTF Worklife}} of {{Teachers Survey Series}}, 1: {{Workload}} and {{Stress}}. {{BCTF Research Report}}.",2001,,"","","",,,"","Naylor, Charlie","","","","","This paper analyzes data from the 2001 survey """"BCTF (British Columbia Teachers' Federation) Worklife of Teacher Survey Series, I: Workload and Stress."""" Surveys were mailed to 1,500 teachers in British Columbia, and 644 teachers responded. Teachers identified and explained the most significant aspect of workload or stress in their professional lives. Almost all respondents identified multiple sources of stress in their teaching work, and these stress factors occurred repeatedly and concurrently. Three key areas of stress teachers identified were (1) increasing difficulty and complexity of teaching and relating to students (e.g., changing class composition and working with impoverished students); (2) the volume of work during a teacher's day and the expectations that teachers will  address a wide range of tasks and issues (e.g., seasonal pressures, curriculum change, and expectations); and (3) lack of time, resources, support, and respect. The consequences of high workload stress include trying to cope, working excessively or opting for part-time employment, quitting teaching, becoming sick, and negative effects on family life. Overall, the study shows that British Columbia teachers have too high a workload, and many are suffering from stress. The effects of such stress are potentially devastating for many teachers. (SM)","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 1 not sharing/ not using","",Elementary Secondary Education;Faculty Workload;Foreign Countries;Stress Variables;Teacher Burnout;Teacher Morale;Teacher Student Relationship;Teaching Conditions;British Columbia,,,1 not sharing/ not using,,Excluded,Excluded,1
rayyan-1093358164,Data {{Exploration}}: {{A Journey}} to {{Better Teaching}} and {{Learning}}. {{Activity Booklet}} [with {{Videotape}}].,2002,,"","","",,,"","North Central Regional Educational Lab., Naperville","","","","","This 20-minute videotape features 2 schools that have maintained a school culture based on using myriad data sources and processes to fuel their school-improvement activities. In the video the voices of teachers and administrators in each school articulate the ways they have used data to improve student achievement. They highlight numerous data sources, analysis strategies, and actions taken as a result of examining data. A companion booklet is intended to support and extend the utility of the video. Following an introductory section, the next section of the booklet contains descriptions of the schools featured in the video. These two brief summaries provide information helpful in understanding the unique contexts of both schools. The next section contains three group activities  intended for use by educators before or after viewing the video. The final section of the booklet contains numerous data resources: books, articles, and websites on data use in schools. In addition, an annotated listing of data tools and services is provided. (Author/WFA)","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 4_not_prerequisites_barriers_facilitators_","",Academic Achievement;Achievement Tests;Data Analysis;Data Collection;Data Interpretation;Educational Assessment;Educational Improvement;Educational Technology;Elementary Secondary Education;Information Technology;Measurement;Scores;State Standards;Test Results;Videotape Recording,,,4_not_prerequisites_barriers_facilitators_,,Excluded,Excluded,1
rayyan-1093358165,Toward {{Critical Data-Scientific Literacy}}: {{An Intersectional Analysis}} of the {{Development}} of {{Student Identities}} in {{An Introduction}} to {{Data Science Course}},2017,,"","","",,,"","Olivares Pasillas, Maria Concepci{\'o}n","","","","","The national imperative to increase the presence of women and people of color in science, technology, engineering, and mathematics (STEM) coupled with the growing presence of Latinos in the United States has led to the dramatic rise of programs and initiatives aimed at improving access to and equity in STEM careers and education for Latino youth. Through the use of critical social theory and critical theory of education as guiding frameworks, the dissertation examines an instantiation of STEM reform efforts to analyze the classroom participation structure that emerged in a piloted introduction to data science course at a local high school in one of the largest school districts in the country. The study is particularly concerned with identifying emergent classroom norms and practices, and understanding whether and how they came to support and/or hinder students' opportunities to learn richly with data through an analysis of the development of student learning identities. This qualitative case study draws on audio-recorded student interviews, video-recorded classroom observations, and field notes collected during the second year of the curriculum's implementation. To identify classroom norms and practices as they relate to the development of student identities as data science doers, the study examines the classroom participation structure (Cobb and Hodge, 2002) and employs Cobb, Gresalfi, and Hodge's (2009) interpretive scheme for analyzing the development of mathematical student identity (also see Cobb \& Hodge, 2010). While the multiperspectival approach of this study will provide innovatively insightful contributions to a number of fields including education, cultural studies, data and computer science, the study will also push how educators, learning science researchers, curriculum writers, and policymakers think about the pursuit of equity in STEM education in general and data science-oriented programs and initiatives in particular as they relate to STEM reform efforts. [The dissertation citations contained here are published with the permission of ProQuest LLC. Further reproduction is prohibited without permission. Copies of dissertations may be obtained by Telephone (800) 1-800-521-0600. Web page: http://www.proquest.com/en-US/products/dissertations/individuals.shtml.]","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 1 not sharing/ not using,2 _not_qualitative/_video_data_","",Access to Education;Case Studies;Class Activities;Critical Theory;Curriculum Implementation;Equal Education;Females;Hispanic American Students;Minority Group Students;Qualitative Research;Science Careers;Science Instruction;Scientific Literacy;STEM Education;Student Participation;Youth,,,"1 not sharing/ not using,2 _not_qualitative/_video_data_",,Excluded,Excluded,1
rayyan-1093358166,School {{Principals}}' {{Opinions}} on {{Data-Based School Management}}: {{A Case Study}},2022,5,"",Participatory Educational Research,2148-6123,9,3,132--147,"{\""""O}z, {\""""O}mer and Arastaman, G{\""""o}khan","","","","","Data usage-related reforms lead schools to different practices in terms of management. The conceptualization of data usage and data-based management will ensure that robust steps are taken for the future in terms of reforms made or to be made in the name of education. In this direction, this study is developed as a qualitative case study to determine the opinions of school administrators for data-based management on a school basis. The working group consists of 12 administrators, seven of whom are women and five of whom are men, who work in private and public schools. Purposive sampling method was used to determine the participants. Data from the working group were collected through the semi-structured interview form and themes were created by analyzing in NVino 11. In line with the established themes, the opinions of the administrators were also evaluated. According to the research findings, administrators mostly use data on """"e-Okul"""" and """"MEBBIS"""" modules. Administrators use the said data in decision-making processes, to meet the demands of senior management units, to work with stakeholders, to increase student success. While the administrators stated that there is not enough support or software products to use the data more effectively in the management process, they stated that there is a need for a series of trainings and that these trainings should be in the form of hands-on workshops. They also stated that there should be auxiliary personnel and support services for data analysis. Administrators who reported their problems with time management in accessing data stated that they were not proficient in data analysis and had problems with the motivation, quality, and workload of the personnel.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 2 _not_qualitative/_video_data_,4_not_prerequisites_barriers_facilitators_","",Administrator Attitudes;Data Use;Decision Making;Educational Needs;Elementary Secondary Education;Foreign Countries;Management Development;Principals;Private Schools;Public Schools;School Administration,,,"2 _not_qualitative/_video_data_,4_not_prerequisites_barriers_facilitators_",,Excluded,Excluded,1
rayyan-1093358167,Not {{Engaging}} with {{Problems}} in the {{Lab}}: {{Students}}' {{Navigation}} of {{Conflicting Data}} and {{Models}},Article 020112 Jul-Dec 2021,,"",Physical Review Physics Education Research,2469-9896,17,2,"","Phillips, Anna McLean and Sundstrom, Meagan and Wu, David G. and Holmes, N. G.","","","","","With the adoption of instructional laboratories that require students to make their own decisions, there is a need to better understand students' activities as they make sense of their data and decide how to proceed. In particular, understanding when students do not engage productively with unexpected data may provide insights into how to better support students in more open-ended labs. We examine video and audio data from groups within a lab session where students were expected to find data inconsistent with the predictions of two models. In prior work, we examined the actions of the four groups that productively grapple with this designed problem. Here, we analyze the engagement of the three groups that do not. We conducted three phases of analysis: (1) documenting large scale behaviors and time spent in on-topic discussion; (2) analyzing interactions with the teaching assistant; and (3) identifying students' framing--their expectations for what is taking place--when they were discussing their data. Our phase 1 and 2 analyses show only minor differences between the groups that engaged with the problem and those that did not. Our phase 3 analysis demonstrated that the groups that did not engage with the problem framed the lab activity as about confirming a known result or as a series of hoops to jump through to fulfill assignment requirements. Implications for instruction include supporting teaching assistants to attend to students' framing and agency within laboratory classrooms.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 3 _not_human_observation_response_data","",College Science;College Students;Expectation;Interaction;Introductory Courses;Mechanics (Physics);Science Instruction;Science Laboratories;Student Behavior;Teaching Assistants,,,3 _not_human_observation_response_data,,Excluded,Excluded,1
rayyan-1093358168,What {{Do They Know}}? {{Investigating Students}}' {{Ability}} to {{Analyse Experimental Data}} in {{Secondary Physics Education}},2021,,"",International Journal of Science Education,0950-0693,43,2,274--297,"Pols, C. F. J. and Dekkers, P. J. J. M. and {de Vries}, M. J.","","","","","This paper explores students' ability to analyse and interpret empirical data as inadequate data analysis skills and understandings may contribute to the renowned disappointing outcomes of practical work in secondary school physics. Selected competences, derived from a collection of leading curricula, are explored through interviews and practical tasks, each consisting of three probes. The 51 students, aged 15 and commencing post-compulsory science education in the Netherlands, were able to carry out basic skills such as collecting data and representing these. In interpreting the data in terms of the investigated phenomenon or situation however, performance was weak. Students often appeared to be unable to identify the crucial features of a given graph. Conclusions based on the data were often tautological or superficial, lacking salient features. Students failed to infer implications from the data, to interpret data at a higher level of abstraction, or to specify limitations to the validity of the analysis or conclusions. The findings imply that the students' understanding of data-analysis should be developed further before they can engage successfully in more 'open' practical work. The study offers a collection of activities that may help to address the situation, suggesting a baseline for guided development of data analysis abilities.","RAYYAN-INCLUSION: {""""Jürgen""""=>""""Excluded"""", """"Rümeysa""""=>""""Excluded""""} | RAYYAN-EXCLUSION-REASONS: 3 _not_human_observation_response_data","",College Readiness;Cooperative Learning;Data Analysis;Evidence;Foreign Countries;Graphs;Inquiry;Interference (Learning);Knowledge Level;Postsecondary Education;Science Activities;Science Instruction;Science Process Skills;Scientific Concepts;Scientific Literacy;Secondary School Science;Secondary School Students;Physical Education and Training,,,3 _not_human_observation_response_data,,Excluded,Excluded,1
